Name	Set	ImageFile	Rarity	Type	Attack	Defense	Movement	Charm	Energy	Skills	Requirements	Uses	Categories	Instructions
Dr. Stingray	Set_Zero	card328,purple	Uncommon	Global Effect									Science	All Boomers -2 Attack & Defense. Other Disasters -1 Attack & Defense. 3 uses.
Interference	Set_Zero	card339,purple	Common	Global Effect										Cancels any card which views other cards. Discard after 3 uses.
Kasumi	Set_Zero	card341,purple	Common	Global Effect										Gives 1 Character the Cooking skill and prevents any Items or Equipment from being stolen or destroyed. 3 uses.
Masaki Comes Visiting	Set_Zero	card344,purple	Common	Global Effect										Opposing character(s). unable to do ANYTHING except entertain Masaki for 1 turn. 3 uses
Mega Motoslave	Set_Zero	card346,purple	Rare	Global Effect										Allows 1 Character to Equip a Hardsuit anywhere or adds +5 to Defense for 1 combat. 2 uses.
Palace Guard	Set_Zero	card347,purple	Rare	Global Effect	+1	+2								Must have Royalty in party to use. Adds to Attack and Defense of entire party. Use 1, plus 1 additional for each Haven in play.
Power Grip	Set_Zero	card349,purple	Common	Global Effect										Party can not be moved from current Location.2 uses.
Relaxing Hot Springs	Set_Zero	card354,purple	Uncommon	Global Effect										Character(s) of the opposite sex of Player at one location drop all Equipment and Items and move 1 Location for 1 Turn. 2 uses, then remove from game.
Spy Camera	Set_Zero	card359,purple	Rare	Global Effect										View any opponent's hand. 3 uses.
Surveillance	Set_Zero	card360,purple	Rare	Global Effect										View cards under any 1 Location. Discard after 2 uses.
Floristica Palace Room	Set_Zero	card364,purple	Rare	Haven									Haven	1 Character from this Haven may add the Royalty skill any given turn.
Masaki House	Set_Zero	card368,purple	Rare	Haven									Haven	1 Character from this Haven may add the Cooking or Priest skill any given turn.
Mihoshi's Mothership	Set_Zero	card369,purple	Rare	Haven									Haven	1 Character from this Haven may add the Police skill any given turn.
Raven's Garage	Set_Zero	card372,purple	Rare	Haven									Haven	Characters from this Haven do not lose Equipment when it is destroyed. Return cards to draw pile.
The Silky Doll	Set_Zero	card376,purple	Rare	Haven									Haven	All Characters from this Haven may add +1 to Charm any given turn.
The Tendo Dojo	Set_Zero	card377,purple	Rare	Haven									Haven	1 Character from this Haven may add the Martial Arts skill any given turn.
5 Yen Coin	Set_Zero	card381,purple	Common	Item										Discard coin to defeat Miss Hinako or any money Disaster.
Barbells	Set_Zero	card387,purple	Common	Item										Gives Strength skill or +1 to existing skill
Bugrom Big Raid Medal	Set_Zero	card390,purple	Common	Item										Scavenge Bugrom Homeland without required skills. All Bugrom opponents are -2 attack and defense.
Chang Tiger Clan Ring	Set_Zero	card394,purple	Rare	Item										Character with ring can not be attacked by GD-42. Discard ring to defeat GD-42.
Cleaning Supplies	Set_Zero	card395,purple	Common	Item										Priest Skill or +1 to an existing skill.
Cute Little Dolly	Set_Zero	card398,purple	Common	Item										+2 Charm while you have it.
Cynthia	Set_Zero	card399,purple	Uncommon	Item										Stops Satellite Strike or discard to direct 1 strike within it's movement.
Defense Minister Callahan	Set_Zero	card400,purple	Uncommon	Item										Military Skill or +1 to an existing skill.
Dimensional Sleep Chamber	Set_Zero	card401,purple	Common	Item									Dimensional	Travel to dimensional locations.
Galaxy Destroyer Remote	Set_Zero	card408,purple	Rare	Item										Defeats Galaxy Destroyer Disaster or discard to direct 1 Attack by Galaxy Destroyer within its Motion.
Galaxy Police Flag	Set_Zero	card409,purple	Uncommon	Item										Police skill or +1 to existing skill
Go Board	Set_Zero	card411,purple	Uncommon	Item										
Horned Mongoose Whistle	Set_Zero	card415,purple	Uncommon	Item										Discard to defeat Yamata No Orochi Disaster
Ifurita's Power Key Staff	Set_Zero	card416,purple	Rare	Item										Stops Ifurita Attack or discard to direct 1 Attack within her movement
Juraian Royal Teardrop	Set_Zero	card417,purple	Common	Item										
Keys	Set_Zero	card419,purple	Common	Item										
Kodachi's School Dress	Set_Zero	card421,purple	Common	Item										
Lingerie	Set_Zero	card424,purple	Common	Item										Seduction skill or adds +1 to an existing skill.
Lisa Vanett's Camera	Set_Zero	card425,purple	Uncommon	Item										View objects carried by Character(s) at any 1 Location.
Mountain Sign Post	Set_Zero	card428,purple	Uncommon	Item										Cancels any card that moves your group to another Location.
Mrs. Tendo's Cookbook	Set_Zero	card429,purple	Uncommon	Item										Cooking Skill or +1 to an existing skill.
Musical Instrument	Set_Zero	card430,purple	Uncommon	Item										Music skill, or +1 to existing skill.
Okonomiyaki (Ukyo's Pizza)	Set_Zero	card431,purple	Common	Item										Discard to remove Hungry Disasters
Piece of Cake	Set_Zero	card433,purple	Common	Item										Discard to remove Hungry Disasters
Power Gem	Set_Zero	card434,purple	Rare	Item										+1 to Energy stat. limit 2 gems per Character. Ryoko's gains +1 Attack.
Priss' First Live Concert Poster	Set_Zero	card436,purple	Rare	Item										Defeats Priss & The Replicants Disaster.
Refreshing Drink	Set_Zero	card439,purple	Uncommon	Item										Discard to heal 1 Damaged character to full Health
Royal Painting	Set_Zero	card440,purple	Common	Item										Will allow you to enter City of Foristica without required skills
Ryu-Oh's Seed	Set_Zero	card441,purple	Uncommon	Item										Will allow you to Scavenge The Juraian Royal Trees Location without the required skills.
Sake Tub	Set_Zero	card442,purple	Common	Item										Hot Tub card.
Sexaroid Data Disk	Set_Zero	card445,purple	Uncommon	Item										Defeats 33-S Sexaroid and recovers articles it is carrying.
Soft Bath Towel	Set_Zero	card448,purple	Common	Item										Enter any Location with Hot Spring, Hot Tub or Bathing Area without the required skills
Tenchi the Master Key	Set_Zero	card452,purple	Rare	Item							Royalty			+2 Attack. Hold up to 3 Power Gems.
Washu's Baby Formula	Set_Zero	card455,purple	Common	Item										Discard to defeat Baby Disaster
A.D. Police HQ	Set_Zero	card456,green	Uncommon	Location	3	16					Police & Bureaucracy or Seduction & Computer			
Bugrom Homeland	Set_Zero	card464,green	Common	Location	5	16					Flying or Streetwise or Strength x2			With Jinnai, Big Raid Medal and Power Key Staff, capture as Haven. Add stats to your own against adjacent Locations.. Bugrom will not attack you.
Cest Lavie	Set_Zero	card469,green	Common	Location		5					Streetwise or Seduction			Sylia may view Disasters, then call a special parlay before attempting to Scavenge
City of Floristica	Set_Zero	card470,green	Rare	Location							Royalty or Streetwise			
Crystal Tunnels	Set_Zero	card474,green	Common	Location							Survival & Streetwise or Blind Luck			Character(s) who cannot attempt location will be stuck 1 turn. Water element characters cannot pass this location.
Desert of Bleached White Bones	Set_Zero	card477,green	Common	Location							Survival & Flying or Water Element			
Deserted Island	Set_Zero	card478,green	Uncommon	Location							Flying Vehicle & Survival or Flying			
Floristica Marketplace	Set_Zero	card480,green	Rare	Location							Streetwise or Phase			Each Character in party must have Survival or Phase to enter Location.
Funaho, The Holy Tree	Set_Zero	card484,green	Uncommon	Location							Computer & Priest			
Furinkan High	Set_Zero	card485,green	Common	Location							Student x2 or Teacher or Bureaucracy or Martial Arts			
Galaxy Police HQ	Set_Zero	card486,green	Common	Location	4	17					Police x2 or Bureaucracy & Royalty		Planetary	With Mihoshi, Kiyone and Galaxy Police Flag, use as Haven. Add stats to Attacks on adjacent Locations. All Characters gain Police skill.
Genaros Station	Set_Zero	card488,green	Uncommon	Location	5	12					Pilot or Police		Planetary	
Genom Military Lab	Set_Zero	card489,green	Rare	Location	5	25					Military & Tech or Computer & Seduction			
Genom Research Center	Set_Zero	card490,green	Uncommon	Location		14					Seduction & Computer or Genius & Tech			
Genom Tower	Set_Zero	card491,green	Common	Location		20					Computer & Tech or Police & Strength 4+			
Hot Legs	Set_Zero	card496,green	Common	Location		8					Music & Streetwise or Police x2 or Savoir-Faire			
Hot Springs House	Set_Zero	card497,green	Common	Location							Female x3 or Peeping			Hot Tub Location
Ifurita's Tomb	Set_Zero	card499,green	Rare	Location							Priest & Any Element or Blind Luck & Survival or Katsuhiko Jinnai			
Island Restaurant	Set_Zero	card501,green	Rare	Location							Cooking & Acrobatics or Cooking & Survival			
Jusenkyo	Set_Zero	card504,green	Common	Location							Martial Arts & Blind Luck			
Masaki Shrine	Set_Zero	card509,green	Rare	Location							Priest or Masaki			
Mt. Muldoon	Set_Zero	card511,green	Common	Location							Climbing or Acrobatics or Flying			
Nobuki Inn	Set_Zero	card514,green	Rare	Location							Teacher & Student or Masaki			
Planet Jurai	Set_Zero	card520,green	Common	Location		22					Royalty & Bureaucracy or Ryoko & Ryo-Ohki		Planetary	With member of Jurai Royal Family, Master Key and Ryo-Oh's seed, use as Haven. All characters gain + 1 Energy.
Royal Trees of Jurai	Set_Zero	card525,green	Uncommon	Location							Royalty & Computer or Sasami		Planetary	
Ryoko's Prison Cave	Set_Zero	card526,green	Rare	Location							Priest or Genius or Keys or Martial Arts & Strength x2			
Ryugenzawa	Set_Zero	card527,green	Uncommon	Location							Survival & Martial Arts & Female			
Seito Bridge	Set_Zero	card528,green	Common	Location							Tech & Vehicle or Mech & Vehicle			Using a Planetary Vehicle wrecks the bridge (Remove Location) and loses the vehicle.
Shinonome High School	Set_Zero	card531,green	Uncommon	Location							Student or Teacher		Dimensional	
Space Pirate Ryoko's Hideout	Set_Zero	card534,green	Rare	Location	6	16					Police x2 or Streetwise x2 or Ryoko		Planetary	
Spring of Arliman	Set_Zero	card536,green	Common	Location							Priest x2 or Female x3 & Survival			Hot Tub Location
Spring of Life	Set_Zero	card537,green	Uncommon	Location							Strength x2 & Survival			
Survival Shot	Set_Zero	card539,green	Common	Location							Marksman or Streewise or Hunter			
Telephone Pole	Set_Zero	card543,green	Common	Location							Flying or Climbing or Martial Arts			
The Citadel	Set_Zero	card544,green	Rare	Location							Priest x2 & Climbing or Priest x2 & Flying			With 3 Muldoon Priestesses and 3 Muldoon Artifacts, use as Haven. Use "Wrath of the Eye of God" up to 3 times.
The Reversed World	Set_Zero	card545,green	Rare	Location							Genius & Computer or Blind Luck		Dimensional	With Washu and Control Cube, use as Haven. You may pull 1 of your Characters per turn to World from any Location.
The Ruined City	Set_Zero	card546,green	Uncommon	Location							Survival & Climbing or Investigation & Climbing			
Tokyo Mega Dome	Set_Zero	card547,green	Common	Location							Music & Tech or Police x2 or Savoir-Faire or Streetwise			
Toma's Palace	Set_Zero	card548,green	Uncommon	Location							Female x2 & Seduction			
U.S.S.D. Military HQ	Set_Zero	card549,green	Rare	Location		18					Military & Communications or Mech & Computer or Any 2 Knight Sabers in Hardsuits			
Ukyo's Restaurant	Set_Zero	card550,green	Common	Location							Cooking x2 or Ranma or Savoir-Faire			
